,designation,description,productid,imageid
0,"['Olivia', ':', 'Personalisiertes', 'Notizbuch', '/', '150', 'Seiten', '/', 'Punktraster', '/', 'Ca', 'Din', 'A5', '/', 'Rosen-Design']",['nan'],3804725264.0,1263597046.0
1,"['Journal', 'Des', 'Arts', '(', 'Le', ')', 'NÂ°', '133', 'Du', '28/09/2001', '-', ""L'art"", 'Et', 'Son', 'Marche', 'Salon', ""D'art"", 'Asiatique', 'A', 'Paris', '-', 'Jacques', 'Barrere', '-', 'Francois', 'Perrier', '-', 'La', 'Reforme', 'Des', 'Ventes', 'Aux', 'Encheres', 'Publiques', '-', 'Le', 'Sna', 'Fete', 'Ses', 'Cent', 'Ans', '.']",['nan'],436067568.0,1008141237.0
2,"['Grand', 'Stylet', 'Ergonomique', 'Bleu', 'Gamepad', 'Nintendo', 'Wii', 'U', '-', 'Speedlink', 'Pilot', 'Style']","['PILOT', 'STYLE', 'Touch', 'Pen', 'de', 'marque', 'Speedlink', 'est', '1', 'stylet', 'ergonomique', 'pour', 'GamePad', 'Nintendo', 'Wii', 'U.', '<', 'br', '>', 'Pour', 'un', 'confort', 'optimal', 'et', 'une', 'prÃ©cision', 'maximale', 'sur', 'le', 'GamePad', 'de', 'la', 'Wii', 'U', ':', 'ce', 'grand', 'stylet', 'hautement', 'ergonomique', 'est', 'non', 'seulement', 'parfaitement', 'adaptÃ©', 'Ã', 'votre', 'main', 'mais', 'aussi', 'trÃ¨s', 'Ã©lÃ©gant.', '<', 'br', '>', 'Il', 'est', 'livrÃ©', 'avec', 'un', 'support', 'qui', 'se', 'fixe', 'sans', 'adhÃ©sif', 'Ã', ""l'arriÃ¨re"", 'du', 'GamePad', '<', 'br', '>', '<', 'br', '>', 'CaractÃ©ristiques', ':', '<', 'br', '>', 'ModÃ¨le', ':', 'Speedlink', 'PILOT', 'STYLE', 'Touch', 'Pen', '<', 'br', '>', 'Couleur', ':', 'Bleu', '<', 'br', '>', 'Ref', '.', 'Fabricant', ':', 'SL-3468-BE', '<', 'br', '>', 'CompatibilitÃ©', ':', 'GamePad', 'Nintendo', 'Wii', 'U', '<', 'br', '>', 'Forme', 'particuliÃ¨rement', 'ergonomique', 'excellente', 'tenue', 'en', 'main', '<', 'br', '>', 'Pointe', 'Ã', 'revÃªtement', 'longue', 'durÃ©e', 'conÃ§ue', 'pour', 'ne', 'pas', 'abÃ®mer', 'l', ""'"", 'Ã©cran', 'tactile', '<', 'br', '>', 'En', 'bonus', ':', 'Support', 'inclu', 'pour', 'GamePad', '<', 'br', '>', '<', 'span', 'class=', ""''"", ""''"", ""''"", ""''"", 'vga_style2', ""''"", ""''"", ""''"", ""''"", '>', '<', 'b', '>', '<', '/b', '>', '<', 'br', '>', ""''"", ""''""]",201115110.0,938777978.0
3,"['Peluche', 'Donald', '-', 'Europe', '-', 'Disneyland', '2000', '(', 'Marionnette', 'Ã€', 'Doigt', ')']",['nan'],50418756.0,457047496.0
4,"['La', 'Guerre', 'Des', 'Tuques']","['Luc', 'a', 'des', 'id', '&', 'eacute']",,
5,"['Afrique', 'Contemporaine', 'NÂ°', '212', 'Hiver', '2004', '-', 'Dossier', 'Japon', '/', 'Afrique']",['nan'],5862738.0,393356830.0
6,"['Christof', 'E', ':', 'Bildungsprozessen', 'Auf', 'Der', 'Spur']",['nan'],91920807.0,907794536.0
7,"['ConquÃ©rant', 'Sept', 'Cahier', 'Couverture', 'Polypro', '240', 'X', '320', 'Mm', '96', 'Pages', '90g', 'SeyÃ¨s', 'Incolore']","['CONQUERANT', 'CLASSIQUE', 'Cahier', '240', 'x', '320', 'mm', 'seyÃ¨s', 'incolorecouverture', 'en', 'Polypro', '96', 'pages', 'agrafÃ©', 'papier', 'de', '90', 'g/m2', '(', '400006764', ')']",344240059.0,999581347.0
8,"['Puzzle', 'Scooby-Doo', 'Avec', 'Poster', '2x35', 'Pieces']",['nan'],4239126071.0,1325918866.0
9,"['Tente', 'Pliante', 'V3s5-Pro', 'Pvc', 'Blanc', '-', '3', 'X', '4m50', '-', 'Longueur', ':', '4m50', 'Largeur', ':', '3', 'M', 'Blanc', 'H']","['Tente', 'pliante', 'V3S5', 'Pro', 'PVC', '500', 'gr/mÂ²', '-', '3', 'x', '4m50.Que', 'vous', 'soyez', 'un', 'particulier', 'pour', 'votre', 'jardin', 'ou', 'un', 'professionnel', 'pour', 'stand', 'commercial', 'ou', 'pour', 'vos', 'rÃ©ceptions', 'le', 'barnum', 'V3S5', 'Pro', 'de', '135', 'mÂ²', 'sera', 'vous', 'combler.Imaginez', 'un', '<', 'strong', '>', 'stand', '<', '/strong', '>', 'robuste', 'lÃ©ger', 'adaptable', 'Ã', 'chacun', 'pliable', 'et', 'peu', 'encombrant', '...', 'Le', 'dÃ©ploiement', 'ultra-rapide', 'et', 'le', 'rÃ©glage', 'de', 'la', 'hauteur', 'se', 'font', 'maintenant', 'via', 'des', 'poignÃ©es', 'd', '&', '#', '39']",,
10,"['Eames', 'Inspired', 'Sxw', 'Chair', '-', 'Pink', '-', 'Black']","['The', 'timeless', 'DSW', 'seat', 'can', 'now', 'be', 'paired', 'with', 'more', 'types', 'of', 'legs', '!', 'These', 'wood', 'legs', 'look', 'like', 'a', 'natural', 'fit', 'for', 'the', 'seat', 'and', 'will', 'make', 'a', 'safe', 'choice', 'for', 'any', 'interior', '.', 'This', 'chair', 'will', 'be', 'perfect', 'Â', 'in', 'offices', 'kitchens', 'and', 'dining', 'rooms', '.', '<', 'ul', '>', '<', 'li', '>', '<', 'strong', '>', 'Ideal', 'for', ':', '<', '/strong', '>', 'kitchen', 'Living', 'room', 'office', 'waiting', 'room', 'or', 'reception', '<', '/li', '>', '<', 'li', '>', '<', 'strong', '>', 'Available', 'Colours', ':', '<', '/strong', '>', 'Â', 'white', 'red', 'blue', 'baby', 'blue', 'black', 'yellow', 'orange', 'olive', 'dark', 'orange', 'chocolate', 'light', 'green', 'warm', 'grey', 'beige', 'light', 'grey', 'blue', 'ocean', 'pink', 'fushia', 'green', 'tree', 'graphite', 'tarmac', 'and', 'royal', 'blue', '<', '/li', '>', '<', 'li', '>', '<', 'strong', '>', 'Other', 'Features', ':', '<', '/strong', '>', 'avalaible', 'with', 'or', 'without', 'amrests.', '<', '/li', '>', '<', '/ul', '>']",1915836983.0,1111840281.0
11,"['Fauteuil', 'Chesterfield', 'Brenton', '100', '%', 'Cuir', 'De', 'Buffle', '-', 'Vert', 'Empire']","['CanapÃ©', 'et', 'fauteuil', 'chesterfield', 'en', 'cuir', 'antique', 'BR', 'ENTON', '.', 'Coloris', ':', 'Chocolat', 'vert', 'empire', 'ou', 'Rouge', 'Cherry', 'Disponible', 'en', 'canapÃ©', '4', 'places', '3', 'places', '2', 'places', 'et', 'fauteuil', '.', 'Ses', '&', '#', '43']",,
12,"['Peaceable', 'Kingdom', 'Wheres', 'Bear', '?', 'The', 'Hide', 'And', 'Find', 'Stacking', 'Block', 'Game', 'For', '2', 'Year', 'Olds']","['pCan', 'my', '2-year-old', 'play', 'a', 'game', '?', 'Yes', 'Each', 'game', 'in', 'our', '2', 'year', 'old', 'collection', 'is', 'designed', 'so', 'that', 'your', 'child', 'will', 'experience', 'what', 'its', 'like', 'to', 'take', 'turns', 'play', 'within', 'the', 'rules', '(', 'even', 'loosely', ')', 'and', 'possibly', 'learn', 'a', 'new', 'skill', 'like', 'rolling', 'a', 'die', '.', 'Unlike', 'games', 'for', 'older', 'children', 'however', 'you', 'dont', 'win', 'or', 'lose', 'any', 'of', 'these', 'game', 's-', 'you', 'play', 'to', 'explore', 'you', 'play', 'to', 'learn', 'and', 'you', 'play', 'to', 'connect', 'and', 'have', 'quality', 'time', 'with', 'your', 'little', 'one', '.', 'Since', '1983', 'play', 'has', 'been', 'the', 'heart', 'and', 'soul', 'of', 'Peaceable', 'Kingdom', '.', 'Silly', 'play', 'special', 'play', 'wholehearted', 'play', 'We', 'create', 'experiences', 'to', 'help', 'kids', 'play', 'well', 'together', 'so', 'they', 'can', 'play', 'well', 'in', 'the', 'world', '.', 'Our', 'games', 'and', 'gifts', 'connect', 'kids', 'and', 'families', 'encourage', 'learning', 'and', 'self-expression', 'and', 'let', 'imaginations', 'soar', '.', 'And', 'if', 'a', 'piece', 'of', 'your', 'Peaceable', 'Kingdom', 'game', 'or', 'gift', 'gets', 'lost', 'in', 'all', 'that', 'fun', 'we', 'will', 'gladly', 'send', 'you', 'a', 'replacement', 'piece', '-', 'just', 'contact', 'us', 'directly', 'with', 'your', 'need', 'When', 'play', 'comes', 'from', 'the', 'heart', 'and', 'feeds', 'the', 'soul', 'thats', 'Peaceable', 'Kingdom.p']",3287127001.0,1204199842.0
13,"['Paire', 'De', 'Voilages', 'ImprimÃ©s', 'Fantaisie']","['Paire', 'de', 'voilages', 'droits', 'fantaisieÂ', 'qui', 'mettra', 'votre', 'intÃ©rieur', 'en', 'valeurUn', 'parement', 'uni', 'Ã', 'petits', 'coeursÂ', 'suivi', 'd', '&', '#', '39']",,
14,"['Matelas', 'MÃ©moire', 'De', 'Forme', '180x200', 'X', '20', 'Cm', 'TrÃ¨s', 'Ferme', '-', 'DÃ©houssable', 'Housse', 'Lavable', '-', '7', 'Zones', 'De', 'Confort', '-', 'Noyau', 'Poli', 'Lattex', 'Hr', 'DerniÃ¨re', 'GÃ©nÃ©ration', '-', 'TrÃ¨s', 'Respirant']","['MATELAS', ':', '<', 'br', '/', '>', 'Ã‚Â·', 'Accueil', ':', 'Ferme', '.', '<', 'br', '/', '>', 'Ã‚Â·', 'Soutien', ':', 'TrÃ¨s', 'Ferme', '.', '<', 'br', '/', '>', 'Ã‚Â·', 'Technologie', 'matelas', ':', 'Face', 'Ã©tÃ©', '&', '#', '43']",,
15,"['Zenith', 'Pince', 'Agrafeuse', '591', 'NÂ°10', 'Coloris', 'Noir']","['Pince', 'agrafeuse', '591', 'NÂ°10', '.', 'Capot', 'en', 'ABS', '.', 'Dispositif', 'anti-blocage', '.', 'MÃ©canisme', 'et', 'corps', 'mÃ©tal', '.', 'Agrafage', ':', '15', 'feuilles', '.', 'CapacitÃ©', ':', '200', 'agrafes', 'nÂ°10', '.', 'Profondeur', 'de', 'gorge', ':', '46', 'mm', '.', 'LivrÃ©e', 'avec', '1', 'boÃ®te', 'd', '&', '#', '39']",,
16,"['Walter', 'Scott', 'Oeuvres', 'ComplÃ¨tes', 'Tomes', '3456', '10', 'Et', '11']",['nan'],3735707499.0,1239242410.0
17,"['Mod', 'Podge', 'Dishwasher', 'Safe', 'Gloss', '8oz']",['nan'],2666371748.0,1156191369.0
18,"['Power', 'Rangers', 'Rouge', 'Force', 'Mystic', 'Figurine', 'Transformable', '18', 'Cm']",['nan'],91015572.0,857195931.0
19,"['Monde', 'Illustre', '(', 'Le', ')', 'NÂ°', '3083', 'Du', '20/01/1917', '-', ""L'emprunt"", 'De', 'La', 'Victoire', 'En', 'Angleterre', '-', 'Le', 'Meeting', 'Du', 'Guildhall', '-', 'Lloyd', 'George', '-', 'Bonar', 'Law', 'Et', 'Mac', 'Kenna', '-', 'La', 'Conference', 'Des', 'Allies', '-', 'Briand', '-', 'Barrere', '-', 'Le', 'General', 'Palitzine']",['nan'],570628142.0,1027257229.0
20,"['Kit', 'de', 'dÃ©sinfection', 'pour', 'piscines', 'enfants', '20990']",['nan'],3936362802.0,1268740880.0
